mlb_id,player_name_fg,team,ip,g,gs,era,fip,xfip,siera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,c_plus_swstr_pct,hr_fb,gb_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
693645,Cameron Schlittler,NYY,41.2,7.0,7.0,1.512000092285162,1.5397156611328067,2.417498655751806,2.5231307639223552,0.7440000454101591,31.41,3.85,0.27564103,15.5,28.5,0.028571428,46.0,6.93,38.61,87.06599609375,112.77760135135135,111.57888513513514,119.18081081081083,54.85408941634242,60.01542445525292,-0.9193772762645915
608331,Max Fried,NYY,52.2,8.0,8.0,2.392405178813943,2.729994220119354,3.9085317063970813,3.9935524298309497,0.8924051063829788,21.39,7.46,0.13930348,10.37,27.69,0.018867924,46.04,2.13,33.33,86.4021540580036,106.86538057742787,103.15396325459318,112.05372703412074,51.46143203412074,50.45875152230972,-0.036919212598425274
669373,Tarik Skubal,DET,43.1,7.0,7.0,2.7000000792283303,2.155408037851547,2.6013710760308872,2.858663956156649,0.94615387391762,27.11,3.61,0.23493976,13.72,29.03,0.0625,45.95,5.26,42.98,89.87387387387388,115.82966074313411,107.06798061389334,121.16064620355415,59.96405106858054,61.720094098883564,-1.0283738277511965
656302,Dylan Cease,TOR,38.1,7.0,7.0,3.0521740142879987,2.1303244211813444,2.604089179224501,3.0251722296925436,1.3304348267409225,33.73,10.84,0.22891566,15.54,30.65,0.045454545,50.56,3.33,35.56,86.92727383700284,107.01498583569403,99.30875354107647,107.79736543909351,59.54529057909605,50.24397675141242,-0.11650440677966105
690997,Nolan McLean,NYM,39.1,7.0,7.0,2.9745763673483756,2.1307665738590957,2.4780402639360593,2.677927267577732,0.9406779965118796,33.33,7.19,0.26143791,10.94,32.03,0.071428571,45.56,5.56,32.22,85.13444552951388,109.43639498432599,100.53896551724135,114.48702194357365,63.8463041875,50.477708156249996,-0.41940057812500003
607625,Seth Lugo,KCR,43.2,7.0,7.0,2.679389469023812,2.6438989360420972,3.8058464504679326,4.054458156411902,1.2137405287030942,21.26,7.47,0.13793104,8.83,25.27,0.022222222,39.34,8.06,37.1,90.19343942110656,89.15639143730883,107.188623853211,94.31972477064221,37.81015171993912,61.920114764079145,-0.26626502283105025
660271,Shohei Ohtani,LAD,30.0,5.0,5.0,0.6,1.9810490926106772,3.208602920671304,3.150884609862865,0.8666666666666667,28.57,7.56,0.21008403,13.74,30.44,0.0,53.42,2.7,37.84,87.33972335188356,113.1926694915254,99.28872881355933,110.8417372881356,59.651225517970396,51.7094065539112,-0.45474873150105716
684007,Shota Imanaga,CHC,41.1,7.0,7.0,2.3951613640065768,2.736425424043891,3.472006210242351,3.3666800493347893,0.8467742195982847,27.04,6.29,0.20754717,14.71,27.71,0.061224489,33.96,8.49,41.51,89.71132443985849,96.45767801857586,108.3420433436533,104.69346749226005,48.166454783281736,51.23444346749226,0.10550948916408671
672282,Reid Detmers,LAA,40.0,7.0,7.0,4.275,2.8227157592773438,3.5474056750535965,3.3248992469475205,1.15,26.19,5.36,0.20833333,12.86,29.3,0.0625,36.04,6.25,35.71,88.19363458806818,105.39164179104476,111.56817910447762,113.78462686567161,49.29753931240657,57.90877370702541,-0.41662581464872944
650911,Cristopher Sanchez,PHI,40.1,7.0,7.0,2.9008265377336784,2.602261196626567,2.7590809805961554,3.0157747723192814,1.5123967418953366,27.78,7.22,0.20555556,13.56,30.51,0.09375,57.26,11.11,44.44,89.82478632478633,115.75272161741835,97.17265940902023,111.48612752721618,56.8281315716487,57.22246659476118,-0.6137545146379044
667755,Jose Soriano,LAA,42.2,7.0,7.0,0.843750050291422,2.8899032439105206,2.971752808814283,3.217616135870035,0.9375000558793578,30.06,9.82,0.20245399,14.01,30.72,0.1,55.67,9.18,33.67,87.88958740234375,102.96024132730014,106.17321266968321,112.34413273001508,61.02083236445784,52.3547551807229,-0.6391603614457833
666200,Jesus Luzardo,PHI,40.2,7.0,7.0,5.090164252744847,2.729682946249989,2.4262263215708693,2.714398461229456,1.2786886045542611,29.65,5.23,0.24418605,14.88,32.74,0.142857142,48.62,5.45,29.09,85.9348659690367,110.93505216095379,102.57141579731744,113.20134128166917,60.80342592261904,51.38274614583334,-0.48494034226190474
663436,Davis Martin,CHW,37.0,6.0,6.0,1.945945945945946,2.8774454890070738,3.5528697450418734,3.6628304673863217,1.0810810810810811,22.92,5.56,0.17361111,9.58,27.62,0.055555555,37.37,6.93,48.51,91.2595979324495,89.75834254143648,103.27314917127075,93.9078453038674,47.74346202578269,57.33404988950277,-0.12431972375690609
656605,Mitch Keller,PIT,41.0,7.0,7.0,2.8536585365853657,2.9038133202529544,3.9686018696645418,4.283265781108221,1.048780487804878,19.02,7.36,0.11656442,9.42,26.46,0.025,39.83,2.52,39.5,86.95254568326271,95.12764227642278,105.52546341463419,100.62982113821138,48.58837029220779,55.165344448051954,-0.2698446915584416
800048,Parker Messick,CLE,41.1,7.0,7.0,2.3951613640065768,3.0751351118832053,3.016448558710227,3.082554675776438,0.9193548669924234,28.21,6.41,0.21794872,11.74,27.97,0.114285714,49.0,4.95,26.73,85.962001953125,98.24113085621973,108.67250403877219,109.15870759289177,47.80373975884245,54.96641911575562,-0.19723228295819933
677952,Braxton Ashcraft,PIT,41.2,7.0,7.0,3.024000184570324,3.003715750488281,3.359480108192366,3.425810927938851,1.0800000659179727,27.27,8.48,0.18787879,13.25,31.13,0.078947368,50.0,6.67,35.24,89.63592233009709,103.45194029850745,99.93674958540632,102.87671641791044,48.21939319536423,54.009527748344375,-0.006830447019867551
657746,Joe Ryan,MIN,38.2,8.0,8.0,3.7241381759734433,3.018405405944933,3.877978430250915,3.5624749205091004,1.060344897325772,25.48,6.37,0.1910828,11.93,28.1,0.058823529,35.58,10.48,38.1,89.00192495492789,107.63220338983052,108.32385208012329,112.55901386748845,48.346656436420716,58.734597409733134,-0.3656047566718995
695243,Mason Miller,SDP,16.1,16.0,0.0,1.1020409021214779,-0.21963144164939408,0.21396295837580048,0.4814694138196176,0.6122449456230432,55.17,5.17,0.5,25.65,49.57,0.0,65.22,0.0,17.39,84.29564898947011,124.4843668122271,102.58672489082967,121.70218340611349,68.81162313043477,49.31634113043478,-0.7234062173913044
695505,Chase Burns,CIN,41.0,7.0,7.0,2.1951219512195124,3.4403986861066125,3.1678014665842062,3.273301543463864,1.024390243902439,28.57,8.07,0.20496894,15.35,29.43,0.131578947,48.0,7.84,39.22,89.31368215460526,111.29430379746837,104.90727848101265,117.01028481012658,62.347629731012645,54.05571351265822,-0.8514950158227849
669387,Carmen Mlodzinski,PIT,34.0,7.0,6.0,4.764706416938604,2.50065686314988,3.3680760161895207,3.488173932374948,1.5000001682954864,25.97,8.44,0.17532468,9.08,28.55,0.033333333,45.36,9.09,53.54,92.19793638249034,92.7726916657183,107.5352395584386,99.94243731269677,40.89927957095709,56.40772410891089,0.10135250825082509
607192,Tyler Glasnow,LAD,38.2,6.0,6.0,2.560344995981742,3.0701295472778973,2.93413314222592,2.9975969800595155,0.8275862613274318,32.64,9.03,0.23611111,12.56,32.36,0.121212121,45.24,7.14,38.1,90.23690359933036,103.57112262521588,95.72683937823835,100.9104663212435,57.566019380378656,50.04541149741824,0.08706876075731497
694738,Landen Roupp,SFG,39.2,7.0,7.0,3.1764707918869655,2.6687241319293094,3.269395132838658,3.5302895921316106,1.0588235972956552,27.04,10.06,0.16981132,10.0,27.58,0.038461538,53.12,0.0,23.47,85.4768400493421,99.26379204892966,107.19666666666664,106.37926605504589,45.4015886060606,53.66600507575757,-0.14083593939393937
701542,Will Warren,NYY,37.2,7.0,7.0,2.389380692296708,2.802582992612264,2.5877685398136387,2.7385067777716037,1.0619469743540924,30.26,5.26,0.25,9.58,30.03,0.129032258,47.42,7.22,42.27,91.0360824742268,107.29116883116886,112.72198051948052,122.77058441558441,60.579414366883114,66.22539762987012,-1.5935814285714285
694819,Jacob Misiorowski,MIL,38.0,7.0,7.0,2.8421052631578947,2.9898210224352386,2.627795314671178,2.580532303807764,1.0,38.06,9.68,0.28387097,17.66,33.91,0.148148148,40.79,3.95,36.84,87.69342362253289,122.26655118110236,93.60368503937008,114.52352755905511,63.484088453125004,46.41914490625,-0.2748242343749999
693821,Bryce Elder,ATL,43.0,7.0,7.0,1.8837209302325582,3.124459945323855,3.969156772729962,4.073388401288917,1.0465116279069768,20.93,7.56,0.13372093,8.73,25.37,0.045454545,43.33,3.31,38.84,89.7125,85.37838550247118,102.64474464579902,91.85864909390445,41.39475925864909,53.23368438220758,0.3860952718286656
676974,Max Meyer,MIA,37.0,7.0,7.0,2.675675675675676,2.9855535971151816,3.622696548740606,3.6027363779184163,1.027027027027027,25.97,8.44,0.17532468,13.73,29.32,0.057142857,44.33,9.18,41.84,89.61031129188144,96.10586440677967,109.33213559322034,106.37955932203388,57.819707271186445,55.454346796610174,-0.44297596610169493
680732,Sean Burke,CHW,39.2,7.0,5.0,2.7226891847293593,3.1981359293649243,3.786084614566148,3.7524606684657043,1.0084034017516146,20.51,5.13,0.15384615,8.48,26.72,0.068181818,42.48,4.35,36.52,88.62124066648231,96.5232347705628,107.89718483116886,101.60764065800863,47.879180632991726,57.315687095449036,-0.2761989078126722
686973,Louie Varland,TOR,17.0,16.0,0.0,0.5294118835027096,0.7359505122094445,1.4024957267884577,1.4898427791512958,1.0588237670054192,43.08,7.69,0.35384615,14.24,29.49,0.0,56.25,0.0,31.25,87.0250015258789,113.88277966101694,111.93111864406785,123.1979661016949,64.50554020338983,57.96536010169492,-1.113680033898305
624133,Ranger Suarez,BOS,39.0,7.0,7.0,2.769230769230769,3.275920887482472,3.6560109900358397,3.9509577312017807,0.9487179487179487,21.62,6.76,0.14864865,8.85,26.22,0.078947368,36.19,7.55,35.85,87.68571428571428,93.24603839441535,105.66488656195462,102.30823734729496,39.769811753472226,54.96126930555556,-0.11999661458333336
592332,Kevin Gausman,TOR,40.2,7.0,7.0,3.098360849496863,3.3690272485271193,3.3728333169148823,3.3902154403770206,0.9590164534156957,24.84,4.97,0.19875776,13.3,28.85,0.108695652,40.18,9.73,38.94,87.70803397042411,98.17176282051284,107.95403846153847,104.2628846153846,50.12056317307692,60.623936266025645,-0.7124301121794872
594798,Jacob deGrom,TEX,31.1,6.0,6.0,2.0106383794678377,2.9243114948920286,3.0729177943017447,2.785681806309501,0.9574468473656369,32.52,5.69,0.26829268,15.58,29.62,0.1,31.58,13.16,40.79,91.51447496916118,110.14304431599231,114.25202312138728,123.08200385356454,58.260615288461544,62.82040134615386,-1.1570378846153844
663554,Casey Mize,DET,31.0,6.0,6.0,2.9032259850794877,2.8896512272702783,3.695802808267043,3.5404568945669372,1.1935484605326783,27.34,8.59,0.1875,12.05,29.81,0.055555555,38.75,8.64,41.98,88.34625244140625,88.20589247311827,101.80812903225807,93.63462365591398,46.55563809725159,52.313568773784354,0.31008427061310784
680736,Justin Wrobleski,LAD,36.0,6.0,5.0,1.25,3.2310490926106774,5.158938117449482,5.389814736037428,1.0,10.49,6.99,0.03496504,5.79,22.97,0.0,40.52,5.98,40.17,88.8439625707166,92.21102768601675,108.65510167873404,100.52511654824566,43.84988915057915,58.55967235521235,-0.37057193050193055
695076,Rhett Lowder,CIN,35.1,7.0,7.0,5.0943398059751335,3.2326214227102628,4.54835204700857,4.764569733672435,1.386792502737675,16.99,9.15,0.07843137,7.93,27.32,0.023809523,41.59,7.08,38.94,90.71100917431193,85.00584459459458,106.44408783783786,95.03013513513513,43.348754654300166,56.83787347386172,0.007196037099494096
601713,Nick Pivetta,SDP,16.0,4.0,4.0,4.5,1.272715759277344,3.1317516046576204,2.7588679263389184,1.125,36.36,9.09,0.27272727,11.66,27.92,0.0,33.33,2.78,30.56,86.16944715711806,101.93293286219078,103.78522968197879,106.48183745583039,50.61204590106007,51.2120522614841,-0.34727045936395756
663556,Shane McClanahan,TBR,29.0,6.0,6.0,3.103448275862069,2.8718536903118266,3.9376694198826265,4.076127266972086,1.1724137931034482,24.79,10.74,0.14049587,12.29,28.54,0.032258064,39.19,10.26,38.46,88.12567963471284,106.72347280334728,91.34698744769874,99.4982845188285,56.62752579166667,47.613001562499996,0.23378389583333334
690986,Kyle Harrison,MIL,29.2,6.0,6.0,2.1235955511285063,2.8780528321499146,3.1475067137287644,3.172136311635541,1.1123595744006463,29.17,7.5,0.21666667,13.29,28.9,0.083333333,38.03,5.48,30.14,88.48169289172536,104.43574468085107,112.62657640232109,112.69647969052227,57.63731468208093,56.9749816955684,-0.7962522350674374
664285,Framber Valdez,DET,40.1,7.0,7.0,3.3471075435388595,3.3956496513913335,4.050371301861319,4.2109831171341785,1.2644628497813468,18.5,8.09,0.10404624,9.78,27.6,0.054054054,51.2,4.8,43.2,90.17967162093495,104.47689381933439,99.35061806656101,103.87026941362919,48.93629804416404,54.5397293533123,-0.09106884858044163
571510,Matthew Boyd,CHC,24.0,5.0,5.0,6.000000476837196,2.3977156996726943,2.6717736403019536,2.830521153203712,1.2916667693191186,31.0,6.0,0.25,14.19,30.0,0.086956521,39.68,9.52,50.79,89.15873015873017,96.18410256410256,114.5911888111888,106.88032634032632,44.65791911627907,58.407642511627905,-0.2132017209302325
676617,Riley O'Brien,STL,16.1,16.0,0.0,2.2040818042429557,1.3722054169705185,1.9792375770057908,1.6060082271051443,0.9795919129968692,29.23,1.54,0.27692308,12.6,29.92,0.0,61.9,2.33,41.86,86.78809756324405,109.6588188976378,110.38488188976375,117.48149606299212,62.164037952755905,56.13374330708661,-0.7763624803149607
669302,Logan Gilbert,SEA,38.0,7.0,7.0,4.026315789473684,3.3319262855931333,3.5662830044172313,3.4621678412246704,1.2894736842105263,24.38,5.0,0.19375,12.44,29.24,0.093023255,36.7,8.18,44.55,90.70367151662845,106.66196261682242,106.32433021806855,111.14389408099689,57.8311935303266,59.10983228615863,-0.7248879160186624
622608,Antonio Senzatela,COL,22.1,10.0,0.0,1.2089554992118947,2.162640908067652,3.4310665072236413,3.248002770582708,0.8059703328079298,24.39,7.32,0.17073171,11.67,28.33,0.0,46.43,5.36,33.93,87.34107317243304,102.09888888888894,110.78954248366017,109.12405228758168,46.2073873,60.699186666666655,-0.565591
672456,Keider Montero,DET,33.2,6.0,6.0,3.475247787267688,3.4447454846848387,4.516120950172954,4.399403854946246,1.009901066385482,18.8,5.26,0.13533835,7.63,26.6,0.056603773,33.0,7.92,43.56,90.95454545454545,93.91352697095434,104.34850622406637,97.5754356846473,47.34368781443298,57.21632670103092,-0.14699435051546392
694973,Paul Skenes,PIT,34.0,7.0,7.0,3.176470588235294,3.177127523983226,3.064124022424221,2.909279064150129,0.8529411764705882,29.32,5.26,0.2406015,11.68,26.64,0.117647058,46.99,5.88,31.76,86.2547607421875,101.15669724770642,113.13897247706421,112.7971009174312,56.10470806569342,60.73078443430657,-0.9228960583941604
645261,Sandy Alcantara,MIA,47.1,7.0,7.0,3.0422536028540597,3.950532682252721,4.437919412531498,4.637402990638476,1.1619718622012034,16.06,7.77,0.08290155,11.19,28.51,0.075471698,47.22,4.79,34.93,88.45694308810764,101.12916167664669,100.46365269461079,101.62065868263474,52.82118549253732,60.95872094029851,-0.7356270895522389
663460,Kris Bubic,KCR,40.2,7.0,7.0,3.3196723387466394,3.516568241360303,4.055229471324289,4.078752456058272,1.131147611721077,25.77,11.66,0.14110429,11.73,27.58,0.069767441,41.0,7.92,34.65,88.25454742739899,93.05387559808611,103.64070175438599,100.11393939393939,53.91353973058638,54.14081846275753,0.03462421553090334
519242,Chris Sale,ATL,42.0,7.0,7.0,2.142857142857143,3.504858616420201,3.272475813151825,3.070619041053588,0.9047619047619048,29.88,7.32,0.22560976,12.89,30.12,0.128205128,46.46,8.08,32.32,87.82020399305556,114.54093167701863,107.20223602484475,116.59683229813668,51.415409751552794,59.76856788819875,-0.6560293478260869
677960,Ryan Weathers,NYY,38.2,7.0,7.0,3.0258622679784226,3.6132330312740244,2.9879790418639782,3.114620074346339,1.1896552506581832,28.48,6.33,0.22151899,11.73,32.49,0.157894736,41.18,11.65,42.72,89.27821395420793,99.87308917197456,114.68780254777069,112.90347133757965,52.89126635499207,57.21347998415215,-0.5660529477020602
676917,Cade Cavalli,WSN,30.2,7.0,7.0,3.8152177076934906,2.8542374740701524,3.8159412895096825,3.6959466888219557,1.6630436161740856,26.57,9.79,0.16783217,11.11,30.73,0.033333333,43.68,5.75,36.78,89.08161031788794,101.77996509598603,93.30122164048863,94.42924956369983,49.797940017361114,47.749409843749994,0.3834575694444445
669923,George Kirby,SEA,45.0,7.0,7.0,3.0,3.658826870388455,3.8252523604366515,3.846162390752856,1.1333333333333333,19.1,6.18,0.12921348,10.11,25.04,0.095238095,56.49,3.82,40.46,89.12615685096154,99.22479750778815,113.02274143302182,110.89579439252338,51.55819738724728,61.227050279937785,-0.5673463919129083
808967,Yoshinobu Yamamoto,LAD,37.2,6.0,6.0,2.8672568307560495,3.6255918977366854,3.786815062312801,3.8459728154834383,1.0088496256363877,21.77,6.12,0.15646259,12.76,27.97,0.097560975,41.75,8.57,39.05,89.0,99.31902097902099,104.45744755244756,105.45283216783217,51.99829543706294,58.53384183566434,-0.31107844405594404
691799,Grant Taylor,CHW,16.2,13.0,4.0,2.7000004119873675,1.2277154663085492,2.672452115167682,2.5040914406782364,1.3800002105713212,34.25,8.22,0.26027397,11.07,29.97,0.0,42.86,7.14,45.24,89.98536347179878,110.8892009467097,107.0457169310483,119.12109126550077,69.5797245276873,55.60310726384365,-1.131490716612378
607259,Nick Martinez,TBR,37.0,6.0,6.0,1.7027027027027026,3.6342022457638303,4.417650803359779,4.567688634751809,1.0,16.33,6.12,0.10204082,7.92,27.22,0.0625,38.94,7.02,29.82,86.32831512721239,100.24771317829456,105.20170542635657,104.57782945736434,43.21220712355212,62.00069285714285,-0.27253206563706567
657277,Logan Webb,SFG,44.0,7.0,7.0,4.295454545454546,3.4658975774591623,3.448693557117473,3.6936729499950496,1.3636363636363635,20.21,7.98,0.12234043,9.27,26.76,0.111111111,58.02,6.02,48.12,91.02153695913462,102.57149700598801,105.11197604790418,109.53020958083832,50.74509242152466,60.55458316890882,-0.5334052316890883
676106,Emerson Hancock,SEA,41.2,7.0,7.0,2.5920001582031347,3.6997157929687523,2.8754676752816417,2.7763648468535926,0.9600000585937536,28.93,3.77,0.25157233,11.9,23.8,0.175,46.67,10.48,40.0,89.84369311286407,104.07872670807453,108.98642857142859,105.925900621118,49.33999108191654,58.600672843894905,-0.6414225502318393
671737,Taj Bradley,MIN,41.0,7.0,7.0,2.8536585365853657,3.830642588545637,4.076243514076967,3.840996166999722,1.2195121951219512,25.29,8.62,0.16666667,10.88,26.98,0.094339622,33.04,9.73,46.9,93.27678571428571,108.0312181303116,90.93082152974503,98.79201133144477,53.817418121468926,47.05703481638418,0.36183834745762716
