mlb_id,player_name_fg,team,season,ip,g,gs,era,fip,xfip,siera,xera,whip,k_pct,bb_pct,k_minus_bb_pct,swstr_pct,csw_pct,c_plus_swstr_pct,hr_fb,gb_pct,lob_pct,barrel_pct,hard_hit_pct,avg_ev,stuff_plus,location_plus,pitching_plus,pb_stuff,pb_command,pb_xrv100
519242,Chris Sale,ATL,2024,177.2,29.0,29.0,2.380863175718908,2.0858042942755386,2.6442501166237466,2.803292149652315,2.7822302887056574,1.0131332662633652,32.05,5.56,0.26495727,14.12,,32.29,0.062937062,44.84,79.82,5.58,31.16,86.53829602541371,104.22758179231862,110.8340967283073,109.77763157894734,47.75242788147624,63.764671852377575,-0.4902360220014194
669373,Tarik Skubal,DET,2024,192.0,31.0,31.0,2.390625,2.4946047782897955,2.8256122650811455,2.8893415627543417,2.6851972148481353,0.921875,30.28,4.65,0.2563081,14.61,,32.08,0.087719298,45.7,80.0,6.65,33.68,87.4467246960888,112.19324152542373,100.09755649717509,112.02959745762715,58.99699554393305,60.66566003835426,-0.5455598396094838
554430,Zack Wheeler,PHI,2024,200.0,32.0,32.0,2.565,3.126479778289795,3.300687974356115,3.3169765272525167,2.821236140494097,0.955,28.46,6.61,0.21855146,12.91,,27.3,0.102564102,42.6,80.12,8.35,33.2,86.72028662008282,110.06214125918824,104.20097794822627,113.34263342921062,59.391417267219396,59.67433852359693,-0.7410182334183674
666142,Cole Ragans,KCR,2024,186.1,32.0,32.0,3.1395349694195023,2.9947445320993267,3.457536477955223,3.4946125197414393,3.254923066167714,1.143112732455306,29.27,8.79,0.20472441,14.4,,28.93,0.080645161,40.74,74.75,6.22,35.41,88.32997982768053,109.89063665594854,99.33703536977495,109.7062958199356,61.90188634701732,53.504003056446464,-0.38418475625400905
656302,Dylan Cease,SDP,2024,189.1,33.0,33.0,3.470070515755412,3.0978178046142695,3.4351364194456018,3.457713576221004,3.3068118444664107,1.066901437112014,29.4,8.53,0.20866142,14.74,,29.27,0.091370558,39.78,69.35,8.49,38.43,89.01378973599138,109.77129559748427,103.53666666666666,113.06290566037734,67.22065060225849,52.65506568695106,-0.4827123337515684
607625,Seth Lugo,KCR,2024,206.2,33.0,33.0,3.004838857581298,3.2487378468548225,3.8298950890902206,3.937443872712888,3.764560781549614,1.0887097310077165,21.65,5.74,0.15909091,9.48,,28.15,0.073732718,44.16,75.14,8.03,38.96,88.50118511652542,96.74312258064518,99.68887096774186,96.75116129032266,42.00712714010284,53.59751071658099,0.14141850899742928
650911,Cristopher Sanchez,PHI,2024,181.2,31.0,31.0,3.319266240910031,2.995837566899727,3.1907934967201372,3.577777788602064,3.5964410251469223,1.244036766908237,20.29,5.84,0.14456233,11.26,,27.52,0.093220338,57.38,71.23,5.39,34.47,87.4145971145073,106.63715619389589,103.19092280071813,110.74886175942552,58.58040625446747,57.682951504646184,-0.6119903466761972
676979,Garrett Crochet,CHW,2024,146.0,32.0,32.0,3.5753424657534247,2.6870277234952744,2.378815742520845,2.5324797444409644,2.8508351995356422,1.0684931506849316,35.13,5.55,0.29579832,16.2,,30.73,0.144,45.09,73.64,9.2,38.79,88.29796511627907,115.6855108877722,102.7994304857621,115.8363400335008,69.67515871773168,64.08551771900126,-1.0816373973762168
657277,Logan Webb,SFG,2024,204.2,33.0,33.0,3.473941540743131,2.9466100605212424,3.28218585995796,3.614297077813484,4.367291185973823,1.2312704195038946,20.45,5.95,0.1450654,8.53,,28.39,0.078571428,56.82,71.67,6.97,46.19,89.81251905487805,108.93711062362898,104.25727984957702,112.37064243183956,58.495243863210504,63.42486529044347,-0.6212649437851343
694973,Paul Skenes,PIT,2024,133.0,23.0,23.0,1.962406015037594,2.4446752670115997,2.5358691781759264,2.7140478644684807,2.5029111064749023,0.9473684210526315,33.07,6.23,0.26848249,13.12,,29.38,0.106382978,51.32,85.59,5.23,36.27,87.8323406559406,108.49213714285713,110.0664304761905,115.33996952380954,52.235115166901736,55.63280289609779,-0.3026091067230842
