pitcher,player_name,xfp_v8_5,xfp_v11,v11_has_pitching_plus,xfp_v8_1,xfp_v8,xfp_v7,xfp_v6,xfp_v5,gs_2026,fp_per_start_actual_2026,k_pct_2026,stuff_xfp,ip_premium,rolling_ip_last5,ip_trend,ip_trend_score,delta_v11_v85
434378,"Verlander, Justin",10.23986852066208,10.303742457215233,True,10.382883175695987,10.382883175695987,10.859012678106833,10.55467324852792,10.796315618268514,,,,10.327682725931025,-0.0871056083105266,5.933333333333334,NORMAL,0.3918213981460292,0.06387393655315243
450203,"Morton, Charlie",10.06674224658857,9.938504636185412,True,9.628098622366563,9.628098622366563,9.662104213007908,9.753892145186894,9.553062787489065,,,,9.920064853819303,0.155502688221695,,NORMAL,,-0.12823761040315773
453286,"Scherzer, Max",9.030751453338477,8.703046055921481,True,8.431761316649256,9.485835088416776,10.135215128626822,10.174212417939872,9.9816273086364,5.0,0.0599999999999994,0.1071428571428571,9.00766367139142,0.0290241955318641,4.066666666666667,NORMAL,-0.0512647352926349,-0.3277053974169952
477132,"Kershaw, Clayton",10.135192833041842,10.005788830272548,True,11.465394459004363,11.465394459004363,11.201618873300632,11.268360656075446,11.343549938779772,,,,10.564034089569011,-0.4368066401388031,,NORMAL,,-0.1294040027692933
500779,"Quintana, Jose",7.294921341197304,7.0774302438009755,True,7.818078643647126,7.9463886375032,7.467136629592167,7.811857013037311,7.662908751177802,5.0,7.039999999999999,0.1142857142857142,7.679344621422214,-0.3874774536938439,4.333333333333334,LOW,-1.604532467736714,-0.21749109739632821
506433,"Darvish, Yu",11.98345021600796,12.020882520384438,True,12.124739079177552,12.124739079177552,11.91473735223941,11.581159780956895,11.864984750968768,,,,11.584604524822485,0.3981494806582066,,NORMAL,,0.0374323043764786
518876,"Kelly, Merrill",9.963445180868733,9.641122411645446,True,9.127969514487056,10.65006806952256,11.528053731857057,11.563169625663988,11.50561329106431,4.0,-2.4000000000000017,0.1414141414141414,9.153064146208807,0.8167242897393407,4.2,LOW,-0.8887389332730037,-0.3223227692232875
519242,"Sale, Chris",16.698856732775255,16.44019743056233,True,16.402159370823533,17.00625954492109,15.8676533698974,16.121414806949733,15.96837379680547,7.0,17.94285714285714,0.298780487804878,13.923623556111746,2.7751142294627336,5.8,HIGH,1.1559826312065544,-0.25865930221292643
527048,"Pérez, Martín",8.207261333008393,7.864949115181918,True,8.737286826665564,8.153261795039564,7.603052962209956,7.706941125438474,8.070455375914177,4.0,12.075,0.1696428571428571,8.28518061364,-0.0756681713535343,5.2,LOW,-0.7090459383753446,-0.3423122178264748
542881,"Anderson, Tyler",7.767411191662674,7.412432616030885,True,7.752220021828428,7.752220021828428,8.264716629167259,8.74078330906594,8.544174675473343,,,,7.961624335903242,-0.1904592349795102,,NORMAL,,-0.35497857563178936
543135,"Eovaldi, Nathan",13.887150916381204,13.689151906327876,True,13.625398626695464,15.0898369180397,14.615621947479404,15.056686547350116,14.501981247370544,7.0,10.128571428571428,0.2254335260115607,12.349794083875553,1.5314037551036677,5.6,NORMAL,0.4290690656467156,-0.1979990100533282
