pitcher,pitches,tbf,bip,in_zone,out_zone,swing,contact,swstr,called_strike,z_swing,z_contact,o_swing_num,avg_velo,avg_ext,avg_pfxz,avg_pfxx,avg_ev,hard_hit_n,barrel_n,gb_n,k,bb,hbp,h,hr,xwoba_bip,woba_v_sum,woba_d_sum,xwoba_contact,player_name,year,z_zone,o_zone_tot,swing_pct,contact_pct,swstr_pct,c_plus_swstr,zone_pct,o_swing_pct,z_swing_pct,z_contact_pct,hard_hit_pct,barrel_pct,gb_pct,k_pct,bb_pct,bip_pct,abs_pfxz,gs,ip_per_start,k_per_start,bb_per_start,h_per_start,hr_per_start,hbp_per_start,er_per_start,fp_per_start_actual,fp_total
112526,2706,816,658,1466,1237,1315,1122,193,574,920,807,394,87.74009608277902,5.274401823015571,0.8037180910099888,-0.909652238253792,87.48775510204082,227,35,287,135,19,4,217,25,0.3667215189873418,260.318,790,0.3295164556962025,"Colon, Bartolo",2015,1466,1237,0.4859571322985957,0.8532319391634982,0.0713229859571323,0.2834441980783444,0.5417590539541759,0.3185125303152789,0.6275579809004093,0.8771739130434782,0.34498480243161095,0.05319148936170213,0.43617021276595747,0.16544117647058823,0.023284313725490197,0.8063725490196079,0.8037180910099888,31,6.129032258064516,4.258064516129032,0.6129032258064516,6.967741935483871,0.8064516129032258,0.12903225806451613,2.838709677419355,11.096774193548386,343.99999999999994
150359,2500,699,499,1203,1297,1127,876,251,483,780,689,347,88.34792,6.393439282803586,0.24864,-0.44413199999999997,88.36136363636363,194,24,273,142,47,11,174,11,0.37416283924843424,227.674,679,0.3353078055964654,"Burnett, A.J.",2015,1203,1297,0.4508,0.7772848269742679,0.1004,0.2936,0.4812,0.26754047802621433,0.6483790523690773,0.8833333333333333,0.38877755511022044,0.04809619238476954,0.5470941883767535,0.20314735336194564,0.06723891273247497,0.7138769670958512,0.24864,26,6.115384615384615,5.461538461538462,1.8076923076923077,6.6923076923076925,0.4230769230769231,0.4230769230769231,2.230769230769231,12.257692307692308,318.7
218596,1854,527,420,912,939,875,701,174,333,613,540,261,84.96745817593093,5.459235294117647,0.16044300378173962,-0.43289573203673687,88.56244444444444,142,20,238,64,36,7,134,13,0.3654907651715039,185.871,486,0.38245061728395063,"Hudson, Tim",2015,912,939,0.47195253505933116,0.8011428571428572,0.09385113268608414,0.27346278317152106,0.4919093851132686,0.2779552715654952,0.6721491228070176,0.8809135399673735,0.3380952380952381,0.047619047619047616,0.5666666666666667,0.12144212523719165,0.0683111954459203,0.7969639468690702,0.16044300378173962,22,5.409090909090909,2.8181818181818183,1.6363636363636365,6.0,0.5909090909090909,0.3181818181818182,2.3181818181818183,8.077272727272726,177.69999999999996
279824,2829,827,700,1379,1450,1362,1200,162,506,928,833,434,81.00530222693531,6.190922294843864,0.627140332272888,0.4552032520325203,86.15515075376885,230,34,332,91,29,7,214,22,0.36133086053412466,279.887,801,0.3494219725343321,"Buehrle, Mark",2015,1379,1450,0.4814422057264051,0.8810572687224669,0.05726405090137858,0.23612583951926475,0.487451396253093,0.2993103448275862,0.6729514140681654,0.8976293103448276,0.32857142857142857,0.04857142857142857,0.4742857142857143,0.11003627569528417,0.03506650544135429,0.8464328899637243,0.627140332272888,31,6.32258064516129,2.935483870967742,0.9032258064516129,6.741935483870968,0.6774193548387096,0.22580645161290322,2.806451612903226,10.316129032258063,319.79999999999995
282332,2703,727,537,1309,1394,1247,979,268,499,816,698,431,86.8739918608953,6.899812593703149,0.7493858675545689,0.5677062523122457,87.11235772357723,166,22,257,137,47,6,188,28,0.3452312138728324,222.075,709,0.3132228490832158,"Sabathia, CC",2015,1309,1394,0.46133925268220494,0.785084202085004,0.09914909359970403,0.2837587865334813,0.48427672955974843,0.30918220946915353,0.6233766233766234,0.8553921568627451,0.3091247672253259,0.040968342644320296,0.478584729981378,0.18844566712517194,0.06464924346629987,0.7386519944979367,0.7493858675545689,29,5.7011494252873565,4.724137931034483,1.6206896551724137,6.482758620689655,0.9655172413793104,0.20689655172413793,2.896551724137931,9.434482758620689,273.59999999999997
285064,2310,598,431,1070,1239,994,826,168,437,682,603,312,87.41878787878788,6.343700088731145,0.7389865742745777,-0.4583672585534864,87.26487025948103,155,35,202,108,56,3,140,17,0.3924337349397591,208.46,582,0.35817869415807563,"Vogelsong, Ryan",2015,1070,1239,0.4303030303030303,0.8309859154929577,0.07272727272727272,0.2619047619047619,0.46320346320346323,0.25181598062953997,0.6373831775700934,0.8841642228739003,0.35962877030162416,0.08120649651972157,0.46867749419953597,0.1806020066889632,0.09364548494983277,0.7207357859531772,0.7389865742745777,22,5.2727272727272725,4.090909090909091,2.1818181818181817,5.090909090909091,0.7272727272727273,0.09090909090909091,2.3636363636363638,9.399999999999999,206.79999999999995
285079,3264,884,687,1735,1526,1611,1297,314,533,1180,983,430,77.06337726019001,5.493989411398318,0.35315854032505367,-0.17084636614535417,86.45411042944787,209,30,296,126,60,11,195,25,0.333353550295858,280.54699999999997,873,0.32135967926689574,"Dickey, R.A.",2015,1735,1526,0.49356617647058826,0.8050900062073246,0.09620098039215687,0.25949754901960786,0.5315563725490197,0.2817824377457405,0.6801152737752162,0.8330508474576271,0.3042212518195051,0.043668122270742356,0.43085880640465796,0.1425339366515837,0.06787330316742081,0.7771493212669683,0.35315854032505367,33,6.383838383838383,3.8181818181818183,1.8181818181818181,5.909090909090909,0.7575757575757576,0.3333333333333333,2.757575757575758,11.309090909090909,373.2
346798,2544,667,515,1143,1397,1173,910,263,457,754,645,416,85.2498427672956,5.402177419354839,0.7471653543307086,-0.4389645669291339,86.95794871794872,165,38,210,108,40,4,180,29,0.4067272727272727,242.506,636,0.3812987421383648,"Lohse, Kyle",2015,1143,1397,0.46108490566037735,0.7757885763000852,0.10338050314465409,0.2830188679245283,0.4492924528301887,0.297780959198282,0.6596675415573053,0.8554376657824934,0.32038834951456313,0.07378640776699029,0.4077669902912621,0.1619190404797601,0.05997001499250375,0.7721139430284858,0.7471653543307086,22,5.53030303030303,3.909090909090909,1.2727272727272727,6.909090909090909,1.1363636363636365,0.18181818181818182,3.772727272727273,6.249999999999999,137.49999999999997
407793,3127,896,669,1666,1448,1584,1262,322,554,1139,989,439,88.873024,6.205256284688215,0.5817341040462428,-0.42336223506743736,86.83500000000001,216,37,319,175,48,4,211,21,0.3445141955835962,270.372,861,0.314020905923345,"Lackey, John",2015,1666,1448,0.5065558042852575,0.7967171717171717,0.10297409657818996,0.2801407099456348,0.5327790214262872,0.3031767955801105,0.6836734693877551,0.8683055311676909,0.32286995515695066,0.05530642750373692,0.476831091180867,0.1953125,0.05357142857142857,0.7466517857142857,0.5817341040462428,33,6.555555555555556,5.303030303030303,1.4545454545454546,6.393939393939394,0.6363636363636364,0.12121212121212122,2.121212121212121,14.724242424242421,485.8999999999999
407822,2459,634,435,1081,1374,1182,869,313,348,730,616,449,86.2971939812932,5.796058269065981,0.46911608961303464,0.6547617107942973,85.874,136,20,233,134,62,3,137,17,0.35276633165829147,202.501,597,0.33919765494137355,"De La Rosa, Jorge",2015,1081,1374,0.48068320455469704,0.7351945854483926,0.12728751525010168,0.26880845872305814,0.439609597397316,0.326783114992722,0.6753006475485661,0.8438356164383561,0.31264367816091954,0.04597701149425287,0.535632183908046,0.2113564668769716,0.09779179810725552,0.6861198738170347,0.46911608961303464,26,5.653846153846154,5.153846153846154,2.3846153846153846,5.269230769230769,0.6538461538461539,0.11538461538461539,2.730769230769231,10.58076923076923,275.09999999999997
