pitcher,bb_pfxz,fb_pfxz,pfxz_spread,year
112526,0.2740298507462686,0.8689174560216509,0.5948876052753823,2015
115629,0.5564130434782608,1.0742446043165468,0.517831560838286,2015
136600,0.24979166666666666,1.1542592592592593,0.9044675925925927,2015
150116,-0.16771084337349398,1.2059800664451827,1.3736909098186767,2015
150302,0.485,0.49980392156862746,0.014803921568627476,2015
150359,-0.7509165526675786,0.7088181818181818,1.4597347344857603,2015
217096,-1.629,1.5652873563218392,3.1942873563218392,2015
218596,-0.6371162790697674,0.29838008415147266,0.9354963632212401,2015
234194,,1.153673469387755,,2015
276351,-0.25010695187165777,1.2367669172932332,1.4868738691648908,2015
276514,,1.2740127388535032,,2015
276542,0.40133004926108373,1.2609704641350212,0.8596404148739375,2015
279571,0.05132743362831858,1.1745481049562683,1.1232206713279498,2015
279824,-0.6408298755186722,0.790438950554995,1.4312688260736672,2015
282332,-0.006743801652892564,1.006355140186916,1.0130989418398084,2015
285064,0.09643373493975903,1.150392464678179,1.0539587297384199,2015
285079,,0.8175277777777777,,2015
329092,0.5312179487179487,-0.515,-1.0462179487179486,2015
346793,-1.3028787878787877,0.8036096256684492,2.106488413547237,2015
346797,0.796,1.7495744680851064,0.9535744680851064,2015
346798,0.10344547563805105,1.246466960352423,1.143021484714372,2015
346847,-0.12837606837606838,0.7492871287128713,0.8776631970889397,2015
400089,0.009166666666666665,1.0723728813559321,1.0632062146892653,2015
407793,-0.5945454545454546,0.7082953710506981,1.3028408255961526,2015
407819,0.14915094339622642,1.1635578947368421,1.0144069513406158,2015
407822,-0.7769101123595505,0.8185641769398114,1.595474289299362,2015
407845,,1.0076980568011957,,2015
407890,0.19896046852122984,1.524609571788413,1.325649103267183,2015
407908,-0.606063829787234,1.4771008403361345,2.0831646701233684,2015
408061,-1.1355445544554454,1.2327807486631015,2.3683253031185467,2015
408241,-0.14202531645569622,0.8909523809523808,1.032977697408077,2015
421685,-0.02087237479806139,1.2953406136245451,1.3162129884226066,2015
424144,-0.010811688311688312,0.9868038740920098,0.9976155624036981,2015
425386,-0.09205555555555556,1.2605657894736841,1.3526213450292397,2015
425492,,1.0515739268680446,,2015
425532,-0.5160655737704918,0.6703879598662208,1.1864535336367126,2015
425626,-0.07029535864978903,1.0629813664596275,1.1332767251094165,2015
425657,0.24571428571428572,0.0689922480620155,-0.17672203765227024,2015
425786,0.10616071428571429,1.2730701754385965,1.166909461152882,2015
425794,-1.3294117647058823,0.9920727272727272,2.3214844919786097,2015
425835,0.4764406779661017,1.1391666666666667,0.662725988700565,2015
425840,0.5217028985507247,1.4062845849802372,0.8845816864295125,2015
425844,-0.29389438943894386,1.2525908828620886,1.5464852723010325,2015
425856,-0.35630434782608694,0.886125,1.242429347826087,2015
429400,-0.03016949152542373,1.1039915966386555,1.1341610881640793,2015
429717,-0.5812408759124088,1.1377316561844864,1.7189725320968952,2015
429719,0.012310344827586209,1.094247311827957,1.0819369670003707,2015
429722,0.32874796747967483,1.1687570621468926,0.8400090946672177,2015
429780,-1.2774074074074075,1.3472508591065293,2.624658266513937,2015
429781,-0.005914634146341468,1.0236813186813187,1.0295959528276601,2015
429783,-0.10571428571428572,1.5014876033057851,1.6072018890200708,2015
430580,-0.6182899628252788,0.9812360211889346,1.5995259840142135,2015
430589,0.38381107491856675,0.3760431654676259,-0.0077679094509408575,2015
430599,-0.24012285012285015,1.1411070780399275,1.3812299281627776,2015
430613,,0.44,,2015
430630,0.10980582524271845,1.5060975609756098,1.3962917357328912,2015
430641,-0.011383647798742139,0.9347466216216216,0.9461302694203637,2015
430661,0.17212389380530974,1.3280817610062892,1.1559578672009794,2015
430911,0.011359999999999999,1.4704923076923078,1.4591323076923077,2015
430912,-0.08837500000000001,1.0614829659318636,1.1498579659318637,2015
430935,-1.0170646766169154,1.1673003269500233,2.1843650035669384,2015
431148,-0.004497041420118342,1.327155255544841,1.3316522969649593,2015
431162,-0.03578313253012049,0.7184453781512605,0.754228510681381,2015
432934,0.71484375,1.8152215464813208,1.1003777964813208,2015
433579,-0.12190082644628099,1.439400352733686,1.5613011791799671,2015
433584,0.5302577319587629,0.9351766304347826,0.4049188984760197,2015
433585,-0.38431506849315067,0.9381382978723405,1.3224533663654912,2015
433586,-0.37246246246246245,0.8910841121495328,1.2635465746119952,2015
433587,-1.0991519434628976,0.6047494707127734,1.703901414175671,2015
433589,0.6895734597156398,1.4219244604316548,0.732351000716015,2015
434137,-0.05128205128205128,1.105703125,1.1569851762820513,2015
434378,-0.015050651230101303,1.5216362192216044,1.5366868704517058,2015
434442,-0.5072480620155039,0.255814479638009,0.7630625416535128,2015
434538,0.20317248459958934,0.8732306590257879,0.6700581744261985,2015
434622,0.23634228187919465,1.188026790314271,0.9516845084350762,2015
434628,-0.2415048118985127,1.2820068259385666,1.5235116378370792,2015
434643,-1.0491758241758242,1.5302484472049689,2.579424271380793,2015
434665,-1.1150666666666667,1.0194076655052264,2.134474332171893,2015
434671,0.15289473684210525,1.4811397849462367,1.3282450481041315,2015
434678,,1.573030303030303,,2015
434718,0.47747368421052633,1.1719660194174757,0.6944923352069494,2015
435043,0.0018324607329842943,0.1360070671378092,0.1341746064048249,2015
435044,0.16859649122807016,1.1171186440677965,0.9485221528397263,2015
435045,-0.39510869565217394,1.322406015037594,1.717514710689768,2015
435221,-0.6970886075949367,1.0080902777777778,1.7051788853727146,2015
435400,,1.2447182175622542,,2015
444436,-0.0953020134228188,0.10150121065375303,0.19680322407657183,2015
444446,-0.7106896551724138,1.0738308457711443,1.784520500943558,2015
444468,-0.042152230971128614,1.0463109756097562,1.0884632065808848,2015
444520,0.36586046511627907,1.4602935779816515,1.0944331128653724,2015
444836,,0.7194565217391304,,2015
444857,-0.9293905191873589,0.826204437400951,1.7555949565883098,2015
444935,-0.39418604651162786,1.5724087591240876,1.9665948056357154,2015
445060,-0.5920996441281139,1.045610465116279,1.6377101092443929,2015
445163,-0.34947761194029847,1.166923076923077,1.5164006888633754,2015
445170,0.38136363636363635,1.2071497584541062,0.8257861220904699,2015
445197,0.22767123287671232,1.5563695299837925,1.3286982971070802,2015
445213,,0.6233663366336634,,2015
445276,-0.30048192771084337,1.2180309423347397,1.518512870045583,2015
445590,0.29334841628959274,1.2046315789473685,0.9112831626577758,2015
445612,-0.20232758620689653,1.1096868008948546,1.3120143871017511,2015
445926,-0.2668150684931507,1.1960562603419744,1.4628713288351252,2015
446099,-0.6272861356932153,1.1441980474198048,1.7714841831130201,2015
446321,-0.7882467532467532,1.1086872146118723,1.8969339678586254,2015
446372,0.17315942028985506,1.0775246376811594,0.9043652173913043,2015
446399,-0.5166772151898734,1.0579391100702575,1.574616325260131,2015
446899,0.6519607843137255,-0.8406666666666667,-1.4926274509803923,2015
447714,0.023133333333333336,0.799693094629156,0.7765597612958227,2015
447755,0.37982758620689655,1.535031055900621,1.1552034696937246,2015
448159,0.0005357142857142867,1.038428093645485,1.0378923793597707,2015
448178,-1.0483082706766917,1.5504633204633205,2.598771591140012,2015
448179,-0.9912568306010929,1.3705607476635515,2.3618175782646444,2015
448281,,1.5843478260869563,,2015
448306,-0.8159936406995231,0.9531328954017181,1.7691265361012412,2015
448609,0.010685483870967741,1.4737089201877933,1.4630234363168255,2015
448614,-1.0999342105263157,0.6410040705563094,1.740938281082625,2015
448802,-0.5050980392156863,0.6952454545454545,1.2003434937611408,2015
448855,,1.4356666666666666,,2015
449079,-0.7727027027027027,1.0345833333333334,1.807286036036036,2015
449097,-0.13352941176470587,1.1578073089700998,1.2913367207348057,2015
449170,-0.03579710144927536,1.4156944444444446,1.4514915458937199,2015
450172,-0.6999491094147582,1.06770783847981,1.7676569478945683,2015
450203,-1.0723340471092075,0.26147344801795064,1.3338074951271581,2015
450212,0.34542944785276075,0.7362693156732892,0.3908398678205285,2015
450275,0.2533665835411471,1.007720588235294,0.7543540046941468,2015
450282,-0.16890243902439023,1.419896551724138,1.5887989907485283,2015
450306,-0.6195959595959596,1.5422538860103625,2.161849845606322,2015
450308,-0.14402912621359223,1.4561838681699912,1.6002129943835834,2015
450351,-0.35351578947368417,0.9839969719909158,1.3375127614646,2015
450665,-1.0846700507614213,1.2167387387387387,2.30140878950016,2015
450729,-1.2066666666666666,0.8098343373493976,2.0165010040160642,2015
451085,0.06879518072289156,1.5792624728850324,1.510467292162141,2015
451532,-1.1734782608695653,0.9361111111111111,2.109589371980676,2015
451584,-0.7095939086294416,1.290507075471698,2.00010098410114,2015
451596,0.33665718349928875,1.4084346224677717,1.0717774389684829,2015
451661,-0.4885654008438819,1.7136998254799303,2.2022652263238123,2015
451775,-1.2704487179487178,1.3215934755332497,2.5920421934819675,2015
451788,-0.37733333333333335,1.0954871794871794,1.4728205128205127,2015
452657,-0.48813905930470347,1.0399055861526358,1.5280446454573393,2015
452666,-0.1840779220779221,0.9400341296928328,1.124112051770755,2015
452718,-0.4863157894736842,0.8792676767676768,1.365583466241361,2015
452733,-0.07396135265700482,0.9693908629441624,1.0433522156011672,2015
453156,0.34797297297297297,0.9093203883495147,0.5613474153765416,2015
453172,0.28618705035971226,0.18320971867007674,-0.10297733168963552,2015
453178,-0.6668955223880597,1.43715,2.1040455223880596,2015
453192,-0.2382183908045977,1.2914545454545454,1.529672936259143,2015
453214,0.17333333333333334,1.2138211382113822,1.0404878048780488,2015
453222,-0.10698924731182795,0.3263116883116883,0.43330093562351624,2015
453249,-0.02368200836820084,0.9108064516129033,0.9344884599811042,2015
453264,,1.111076923076923,,2015
453265,0.07545454545454545,0.8593236714975845,0.783869126043039,2015
453286,0.017655172413793104,1.1313460597161038,1.1136908873023108,2015
453307,,1.2452857142857143,,2015
453311,-0.9203370786516853,1.2634117647058825,2.183748843357568,2015
453329,-0.8885714285714286,0.9035590277777779,1.7921304563492064,2015
453343,-1.3684137931034481,0.5935769230769231,1.9619907161803711,2015
453344,0.10878205128205128,1.3846245059288538,1.2758424546468026,2015
453385,0.13364864864864864,0.3926369168356998,0.2589882681870511,2015
453562,-0.25978877887788776,1.0715516257843698,1.3313404046622574,2015
453646,0.1889705882352941,1.4825916230366494,1.2936210348013553,2015
455009,0.0858235294117647,1.0963594470046083,1.0105359175928437,2015
455119,-0.37689655172413794,1.057939393939394,1.434835945663532,2015
455374,0.47036458333333336,1.6764458598726115,1.206081276539278,2015
456027,-0.07977099236641222,1.5907488986784142,1.6705198910448265,2015
456034,-0.10963369963369964,1.22633219470538,1.3359658943390798,2015
456051,0.4564473684210526,1.1885365853658536,0.732089216944801,2015
456068,-0.015676100628930822,1.5112350035285815,1.5269111041575123,2015
456071,0.39253125,0.7675401069518716,0.3750088569518716,2015
456379,0.39918333333333333,1.1803440860215053,0.781160752688172,2015
456496,0.3087250996015936,0.9469819819819819,0.6382568823803882,2015
456501,0.24227665706051876,1.079552931252636,0.8372762741921171,2015
456696,-0.06560747663551403,1.275745856353591,1.341353332989105,2015
456701,,1.0275,,2015
456776,,1.0191415313225058,,2015
457117,0.6192993630573249,1.6416494845360825,1.0223501214787576,2015
457429,0.07061403508771931,0.9973225806451613,0.926708545557442,2015
457435,-0.39999999999999997,0.9387978142076503,1.3387978142076502,2015
457448,,0.8765533980582524,,2015
457711,-0.3690625,1.3601468428781205,1.7292093428781206,2015
457732,,0.9631884057971014,,2015
457744,0.053236514522821576,1.50651376146789,1.4532772469450685,2015
457754,0.04014492753623188,1.52125,1.4811050724637682,2015
457768,-0.6066153846153846,0.4472374429223744,1.053852827537759,2015
457918,-0.20420118343195265,1.166948704389212,1.3711498878211645,2015
458006,0.37696969696969695,0.5818037135278514,0.20483401655815447,2015
458584,-0.45841145833333335,0.8177910447761193,1.2762025031094526,2015
458677,0.24338028169014086,1.4701637666325484,1.2267834849424075,2015
458678,-0.29653846153846153,0.7638674033149171,1.0604058648533785,2015
458681,0.014635416666666666,0.8963912704598597,0.881755853793193,2015
458708,-0.5806666666666667,1.1235545722713864,1.704221238938053,2015
458730,-0.7357281553398058,0.8758445945945946,1.6115727499344006,2015
