pitcher,breaking_spin,offspeed_spin,FF_spin,breaking_velo,offspeed_velo,FF_velo,pitch_entropy,vaa_ff,velo_diff,year
112526,2164.2904564315354,1727.020202020202,2160.5227695167287,82.77462686567164,82.57525252525252,88.91046459179071,1.112550554484743,-6.111480506150149,6.33521206653819,2015
115629,2071.8636363636365,1697.7441860465117,2051.45905707196,87.425,84.7159090909091,93.70335731414869,0.7197444681159516,-5.940816548764565,8.987448223239596,2015
136600,2358.8695652173915,,2198.074074074074,79.73125,,84.27777777777777,1.2152745705064867,-5.746227758018831,,2015
150116,2176.093023255814,1669.1940298507463,2032.142857142857,78.24497991967871,78.53188405797101,88.78106312292358,1.5360639212149332,-5.756968241563135,10.249179064952571,2015
150274,,,,,,,0.5623351446188083,-7.075927615245188,,2015
150302,1977.044776119403,1239.1333333333334,1782.4758620689656,82.57933333333334,78.78231707317073,88.30217864923746,0.9566083698094179,-6.9121406923644235,9.519861576066731,2015
150359,2022.6737288135594,1677.5648148148148,2009.2473262032086,82.33269493844048,86.29954337899542,91.55318181818181,1.171163130328995,-5.9968490503211545,5.253638439186389,2015
217096,2737.4666666666667,1275.2121212121212,2068.9310344827586,70.02,74.29090909090908,84.25287356321839,1.37261791419076,-6.0019716800168785,9.961964472309305,2015
218596,2259.8826530612246,1368.5524861878453,2053.813685078318,75.76930232558139,80.88743961352657,87.00189340813463,1.373588724247766,-6.503884344189758,6.1144537946080675,2015
234194,,,2256.122448979592,,,90.57346938775511,1.044315769489947,-5.033856240069089,,2015
276351,2192.4214285714284,,2397.244845360825,83.10588235294118,,94.62155388471177,0.636072881483414,-4.993333989358447,,2015
276514,,1335.7096774193549,2211.5935483870967,,83.7125,91.06369426751593,1.0787635731223457,-6.159867257583494,7.351194267515922,2015
276542,2331.9204545454545,1433.9913294797689,2275.205298013245,87.98669950738916,84.68845070422536,94.84599156118144,1.2558544804574137,-5.435690951147275,10.157540856956075,2015
279571,1980.9530516431926,,1980.1540880503144,83.38938053097345,,91.04198250728864,1.350659303236833,-6.000716419464049,,2015
279824,2137.2280701754385,1625.4159445407279,1995.8023567220139,71.74522821576763,78.71663865546219,82.8729061553986,1.5533495820175591,-6.804518615020691,4.156267499936405,2015
282332,1822.8945054945054,1950.4623655913979,2074.85552238806,79.56876033057851,83.88430851063829,90.19760514018691,1.3252959929069341,-6.149989105791268,6.313296629548617,2015
285064,1923.5068153655513,1758.6938775510205,2054.19773095624,81.92180722891567,84.02799999999999,91.56350078492935,1.467162929603122,-5.405508665063189,7.535500784929354,2015
285079,,,1810.467105263158,,,82.30388888888889,-0.0,-6.66642792153878,,2015
329092,1961.696,,1795.6437768240344,74.54166666666667,,84.2152,0.669861741481429,-6.505011824574763,,2015
346793,2481.8264462809916,1266.1818181818182,2003.7407407407406,74.95606060606062,86.66250000000001,91.00828877005347,0.818935137039676,-6.633203914727071,4.34578877005346,2015
346797,1989.5,,2295.2608695652175,85.05499999999999,,89.9531914893617,1.3080431752407513,-5.248877007300728,,2015
346798,2142.250629722922,1519.4046692607003,2140.839854413103,82.78364269141531,79.79774436090226,89.93022026431719,1.2270424882215707,-6.08183037545096,10.132475903414928,2015
346847,1883.9324324324325,1875.0298507462687,2099.4464285714284,77.9017094017094,81.29705882352941,87.4691089108911,1.3577972818518818,-6.469792793482679,6.172050087361683,2015
400085,,,,,,,0.8675632284814613,-4.376185545082775,,2015
400089,1711.8,,2234.4576271186443,83.18958333333333,,91.32542372881356,1.4533460099783615,-5.563605678390247,,2015
407793,2082.0361010830325,1955.9036144578313,2136.7923449186096,78.64006734006733,84.31204819277109,90.25595150624541,1.3783804770602326,-6.7424705016376665,5.943903313474323,2015
407819,1837.2716049382716,,2037.9955056179774,84.13207547169812,,93.43515789473683,1.2802501632490761,-5.837908512621922,,2015
407822,2402.7678571428573,1370.692124105012,1880.2123552123553,75.23820224719101,82.69661399548532,90.14307469180565,1.250061626696659,-6.4817269310703365,7.4464606963203295,2015
407845,,1919.3814180929096,2099.1442155309032,,83.23452380952381,95.37892376681614,0.9486777400529944,-5.555174839232587,12.144399957292336,2015
407890,2078.2390158172234,1961.0287081339713,2272.2637997432607,81.99648609077599,83.76448598130841,88.53054156171285,1.249212800074277,-5.917494480357276,4.766055580404441,2015
407908,2346.505882352941,1232.1503759398497,2396.3777777777777,77.05531914893616,81.46575342465754,90.08823529411765,1.0292829152600576,-5.837300178676061,8.622481869460117,2015
408061,2271.5,1629.8885542168675,2039.4803370786517,75.55742574257425,83.46988636363636,90.13021390374331,1.2892726253437223,-6.113931663845139,6.660327540106948,2015
408241,2210.3390804597702,1788.5576923076924,2486.4677042801554,81.65696202531646,83.11206896551724,89.03383838383839,1.5799940032287003,-6.175463024280811,5.921769418321148,2015
421685,2004.573896353167,1639.6357142857144,2301.367055084746,80.09240710823909,84.1048275862069,89.75195007800312,1.4120991819021107,-6.369512452880866,5.647122491796225,2015
424144,1857.5955056179776,,2208.9796437659033,79.83214285714286,,92.39564164648911,1.0403057460415068,-5.307379071310661,,2015
424325,,,,,,,-0.0,,,2015
425386,2073.6916666666666,1590.418952618454,2161.655562958028,79.9412962962963,85.61658415841583,91.75848684210526,1.7015101547196787,-5.585233486046457,6.141902683689423,2015
425492,,2053.7450980392155,2141.4437194127245,,83.77954545454546,93.58966613672496,1.028832258108465,-6.183803416026727,9.810120682179502,2015
425532,2116.529411764706,1644.0268656716419,2074.5240715268224,77.40819672131147,83.93877551020408,89.61939799331104,1.5348963502415174,-6.662678718481458,5.6806224831069585,2015
425543,,,,,,,0.8647400965276372,,,2015
425560,,,,,,,1.2650013752730702,-4.146909158037981,,2015
425626,2201.415789473684,1556.3867403314916,2416.0689655172414,80.76793248945148,78.36740331491713,89.15590062111801,1.218676553402983,-5.965570199073052,10.788497306200881,2015
425657,1808.75,2062.05,2136.2213333333334,77.21904761904763,,85.12351421188632,0.8060175045444729,-6.249893933112099,,2015
425786,2307.929648241206,,2234.2972972972975,84.65714285714286,,90.66140350877193,0.9213966213279468,-5.752963416311979,,2015
425794,2591.0729166666665,,2215.5758754863814,74.8343137254902,,88.55818181818182,1.344677865776304,-6.51788455292578,,2015
425796,1845.32,1883.3,,,,,1.04383257563682,-6.079035712421004,,2015
425835,1914.157894736842,,2307.8813559322034,87.62372881355932,,94.21833333333333,1.0861458132156525,-4.774253050407624,,2015
425840,2012.9533898305085,,2254.769696969697,86.35760869565217,,90.64090909090909,0.8983383374249324,-5.36557583896089,,2015
425844,2370.853424657534,1741.455326460481,2366.615976331361,83.23278327832784,88.68554421768707,92.30473167916908,1.4338614266786982,-5.69100508411695,3.6191874614820136,2015
425856,2172.4186046511627,,2150.5225806451613,83.16304347826087,,91.936875,1.447355830337168,-5.4306412024201105,,2015
429400,2023.3191489361702,1459.6363636363637,2331.4291845493563,83.05932203389831,85.29090909090908,92.11134453781513,1.2509715125757228,-5.455918450105499,6.820435446906046,2015
429717,2211.941798941799,1382.5052631578947,2162.370829769033,76.79318734793188,81.73529411764706,85.160964360587,1.3674465065296746,-7.15530526019219,3.425670242939944,2015
429719,2017.765690376569,2271.3478260869565,2274.2075471698113,86.45068965517241,,93.97007168458782,1.0660431156564438,-5.976698080488114,,2015
429722,1928.3282674772036,1522.658536585366,2255.630733944954,84.63626016260163,85.55117647058825,92.9993220338983,0.9432180957684013,-5.855547931978696,7.4481455633100495,2015
429780,2781.962962962963,2021.1698113207547,2210.2,75.11851851851851,83.76415094339623,88.12474226804123,1.5785924389823898,-6.459291141250831,4.360591324645,2015
429781,2371.9625,1583.3698630136987,2350.3555555555554,82.96219512195121,84.16933333333333,88.75054945054946,1.726322250787463,-6.367704845755196,4.58121611721613,2015
429783,2218.756097560976,1704.5949367088608,2559.506976744186,79.31008403361344,84.79268292682927,91.2909090909091,1.0476893021908116,-5.4453759553313805,6.498226164079824,2015
430404,,,,,,,-0.0,,,2015
430580,2168.68992248062,1565.9019801980198,2119.9091470951794,77.35278810408923,85.17919463087247,92.67127722189524,1.4751279878958439,-6.432443577042917,7.492082591022765,2015
430589,2313.25,,1981.2091346153845,86.62540716612378,,92.0021582733813,0.683720945095883,-6.775877005501887,,2015
430599,1991.4893617021276,1883.5348837209303,2119.149908592322,84.00442260442261,86.00568181818181,91.34065335753175,1.4764621329062226,-5.796385897755451,5.334971539349937,2015
430605,,,,,,,0.8945510979978214,,,2015
430613,,,1986.8695652173913,,,92.50172413793103,0.6847363442911288,-6.786272236615938,,2015
430630,1763.3125,1387.0652173913043,2209.2718446601943,84.1368932038835,86.98700000000001,92.56585365853658,0.9310975348180115,-5.146935200936612,5.578853658536573,2015
430641,2352.4599303135888,,2266.049828178694,83.07735849056603,,93.27280405405405,1.2985869337961689,-6.035080705413076,,2015
